== COMPREHENSIVE b2b (17 tracers): 4x4x75, 48hr, GPU vs CPU (CPU = Tier-1 bit-identical reference) ==
Sun Jun 21 20:40:58 UTC 2026
  gpu exit=0
  cpu exit=0
  tracer                       GPU                      CPU  |GPU-CPU|/|CPU|  verdict
  dic       1.5036917557803018e+13   1.5036917557803020e+13         1.30e-16  PASS
  alk       1.6266596567821811e+13   1.6266596567821816e+13         3.60e-16  PASS
  no3       1.1316293002204030e+11   1.1316293002204030e+11         0.00e+00  PASS
  po4       7.5339387331740580e+09   7.5339387331740561e+09         2.53e-16  PASS
  o2        1.6808058953017488e+12   1.6808058953017490e+12         1.45e-16  PASS
  sio4      1.1240853953441927e+11   1.1240853953441925e+11         1.36e-16  PASS
  fed       2.9978026277936329e+06   2.9978026277936334e+06         1.55e-16  PASS
  ndi       1.2689556054290163e+06   1.2689556054290107e+06         4.40e-15  PASS
  nlg       2.0703081154550098e+07   2.0703081154550206e+07         5.22e-15  PASS
  nmd       1.9217505497838754e+07   1.9217505497838605e+07         7.75e-15  PASS
  nsm       1.7665885008424986e+07   1.7665885008424480e+07         2.87e-14  PASS
  nsmz      1.4066085703755146e+07   1.4066085703755107e+07         2.78e-15  PASS
  nmdz      1.5926887378104141e+07   1.5926887378104137e+07         2.34e-16  PASS
  nlgz      9.7990731907354053e+06   9.7990731907354053e+06         0.00e+00  PASS
  nbact     2.5723869612310451e+07   2.5723869612310424e+07         1.01e-15  PASS
  ndet      6.1404429049596554e+06   6.1404429049596302e+06         4.10e-15  PASS
  ldon      4.6674729591087982e+07   4.6674729591087878e+07         2.23e-15  PASS

  ===== COMPREHENSIVE b2b VERDICT: PASS — all 17 tracers within round-off (tol 1e-13) =====
==== DONE Sun Jun 21 20:42:04 UTC 2026 ====
